,Iso3,StartDate,EndDate,Area Code,Area,Item Code,Item,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
0,#country+code,#date+start,#date+end,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,,
1,ETH,2000-01-01,2000-01-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7001.0,January,2000.0,2000,,13.406708,F,base year is 2015
2,ETH,2001-01-01,2001-01-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7001.0,January,2001.0,2001,,14.102339,X,base year is 2015
3,ETH,2002-01-01,2002-01-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7001.0,January,2002.0,2002,,12.252985,X,base year is 2015
4,ETH,2003-01-01,2003-01-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7001.0,January,2003.0,2003,,15.286231,X,base year is 2015
5,ETH,2004-01-01,2004-01-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7001.0,January,2004.0,2004,,15.743539,X,base year is 2015
6,ETH,2005-01-01,2005-01-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7001.0,January,2005.0,2005,,17.670537,X,base year is 2015
7,ETH,2006-01-01,2006-01-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7001.0,January,2006.0,2006,,20.042745,X,base year is 2015
8,ETH,2007-01-01,2007-01-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7001.0,January,2007.0,2007,,23.612570,X,base year is 2015
9,ETH,2008-01-01,2008-01-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7001.0,January,2008.0,2008,,30.213822,X,base year is 2015
10,ETH,2009-01-01,2009-01-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7001.0,January,2009.0,2009,,43.746062,X,base year is 2015
11,ETH,2010-01-01,2010-01-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7001.0,January,2010.0,2010,,43.937638,X,base year is 2015
12,ETH,2011-01-01,2011-01-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7001.0,January,2011.0,2011,,49.914101,X,base year is 2015
13,ETH,2012-01-01,2012-01-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7001.0,January,2012.0,2012,,71.939279,X,base year is 2015
14,ETH,2013-01-01,2013-01-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7001.0,January,2013.0,2013,,81.079323,X,base year is 2015
15,ETH,2014-01-01,2014-01-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7001.0,January,2014.0,2014,,85.223919,X,base year is 2015
16,ETH,2015-01-01,2015-01-31,238.0,Ethiopia,23013,"Consumer Prices, Food Indices (2015 = 100)",7001.0,January,2015.0,2015,,91.315374,X,base year is 2015
